Gender,Scalp_Type,Texture,Thickness,Environment,Dandruff,Hairfall,Frizz,Color_Treated,Routine
Male,Dry,Straight,Medium,Dry,Yes,Yes,No,No,Anti-Dandruff
Female,Oily,Wavy,Fine,Dry,No,Yes,Yes,Yes,Hairfall Control
Female,Oily,Coily,Fine,Humid,No,No,Yes,Yes,Color Protect
Male,Normal,Wavy,Fine,Humid,No,No,No,No,Daily Volume
Female,Oily,Curly,Medium,Moderate,No,Yes,No,Yes,Hairfall Control
Female,Normal,Coily,Thick,Moderate,No,No,No,Yes,Color Protect
Male,Normal,Straight,Medium,Moderate,No,Yes,No,No,Hairfall Control
Female,Oily,Coily,Medium,Moderate,No,Yes,Yes,Yes,Hairfall Control
Female,Oily,Curly,Fine,Dry,Yes,No,No,Yes,Anti-Dandruff
Female,Oily,Wavy,Thick,Dry,No,No,Yes,Yes,Color Protect
Male,Dry,Wavy,Fine,Dry,No,No,No,No,Frizz Control & Moisture
Male,Oily,Straight,Thick,Dry,Yes,Yes,No,Yes,Anti-Dandruff
Female,Oily,Coily,Fine,Dry,No,No,Yes,No,Frizz Control & Moisture
Female,Dry,Straight,Thick,Moderate,Yes,No,Yes,Yes,Anti-Dandruff
Female,Normal,Wavy,Thick,Humid,Yes,No,No,Yes,Anti-Dandruff
Female,Dry,Curly,Fine,Moderate,No,Yes,Yes,No,Hairfall Control
Female,Oily,Wavy,Medium,Moderate,Yes,No,No,No,Anti-Dandruff
Female,Dry,Straight,Fine,Moderate,No,Yes,No,Yes,Hairfall Control
Female,Oily,Curly,Fine,Dry,Yes,Yes,No,No,Anti-Dandruff
Female,Oily,Straight,Fine,Moderate,Yes,Yes,Yes,No,Anti-Dandruff
Male,Oily,Curly,Fine,Dry,Yes,Yes,No,No,Anti-Dandruff
Female,Oily,Curly,Thick,Moderate,No,No,No,Yes,Color Protect
Male,Normal,Straight,Thick,Moderate,No,No,Yes,Yes,Color Protect
Female,Dry,Curly,Thick,Dry,No,No,Yes,No,Frizz Control & Moisture
Female,Oily,Wavy,Medium,Humid,No,No,No,Yes,Color Protect
Female,Dry,Straight,Medium,Humid,No,No,Yes,No,Frizz Control & Moisture
Male,Normal,Coily,Medium,Humid,No,No,Yes,No,Frizz Control & Moisture
Female,Dry,Curly,Fine,Moderate,No,No,No,Yes,Color Protect
Male,Oily,Straight,Medium,Moderate,No,Yes,No,Yes,Hairfall Control
Female,Normal,Wavy,Medium,Dry,Yes,Yes,No,No,Anti-Dandruff
Male,Dry,Coily,Fine,Moderate,Yes,No,No,Yes,Anti-Dandruff
Female,Dry,Coily,Fine,Moderate,Yes,No,Yes,Yes,Anti-Dandruff
Male,Dry,Wavy,Thick,Moderate,Yes,No,No,No,Anti-Dandruff
Male,Dry,Straight,Fine,Dry,No,Yes,Yes,No,Hairfall Control
Female,Dry,Straight,Fine,Moderate,No,No,No,Yes,Color Protect
Female,Oily,Wavy,Fine,Humid,Yes,Yes,Yes,Yes,Anti-Dandruff
Female,Oily,Straight,Medium,Moderate,No,Yes,Yes,Yes,Hairfall Control
Female,Normal,Curly,Fine,Dry,Yes,No,No,Yes,Anti-Dandruff
Male,Normal,Curly,Fine,Dry,Yes,No,Yes,No,Anti-Dandruff
Female,Normal,Wavy,Medium,Humid,No,Yes,No,Yes,Hairfall Control
Female,Normal,Straight,Fine,Humid,No,No,Yes,No,Frizz Control & Moisture
Female,Dry,Curly,Fine,Dry,Yes,Yes,Yes,No,Anti-Dandruff
Male,Normal,Wavy,Medium,Humid,No,Yes,No,Yes,Hairfall Control
Male,Oily,Straight,Medium,Humid,Yes,Yes,Yes,No,Anti-Dandruff
Female,Oily,Coily,Fine,Humid,Yes,Yes,No,Yes,Anti-Dandruff
Male,Normal,Straight,Medium,Dry,Yes,Yes,Yes,No,Anti-Dandruff
Female,Normal,Wavy,Fine,Moderate,Yes,No,No,No,Anti-Dandruff
Female,Oily,Straight,Fine,Moderate,Yes,Yes,Yes,No,Anti-Dandruff
Male,Oily,Straight,Thick,Moderate,No,No,No,No,Daily Volume
Male,Dry,Straight,Thick,Dry,No,No,Yes,No,Frizz Control & Moisture
Male,Normal,Curly,Fine,Dry,Yes,No,No,Yes,Anti-Dandruff
Male,Dry,Straight,Fine,Humid,No,No,No,No,Frizz Control & Moisture
Male,Dry,Straight,Medium,Moderate,Yes,Yes,Yes,No,Anti-Dandruff
Male,Oily,Wavy,Thick,Moderate,Yes,No,Yes,Yes,Anti-Dandruff
Female,Oily,Curly,Medium,Humid,No,No,Yes,No,Frizz Control & Moisture
Male,Normal,Straight,Medium,Dry,No,No,Yes,Yes,Color Protect
Male,Oily,Straight,Medium,Dry,No,Yes,Yes,No,Hairfall Control
Male,Dry,Wavy,Fine,Humid,No,Yes,Yes,Yes,Hairfall Control
Female,Dry,Wavy,Medium,Dry,Yes,Yes,Yes,No,Anti-Dandruff
