Gender,Skin_Type,Acne,Pigmentation,Redness,Wrinkles,Blackheads,Sensitivity,Pores,Environment,Age_Group,Preference,Routine
Male,Oily,No,Yes,Yes,Yes,Yes,Low,Large,Moderate,Mature,Minimal,Acne Control
Female,Oily,Yes,Yes,Yes,Yes,Yes,High,Large,Humid,Mature,Advanced,Acne Control
Female,Dry,No,No,Yes,Yes,No,Medium,Medium,Dry,Teen,Minimal,Sensitive Care
Female,Oily,Yes,No,Yes,No,No,Low,Large,Dry,Teen,Advanced,Acne Control
Female,Oily,No,Yes,No,No,Yes,Low,Large,Humid,Teen,Advanced,Acne Control
Male,Combination,Yes,Yes,Yes,No,No,Low,Medium,Moderate,Adult,Minimal,Acne Control
Female,Combination,Yes,No,Yes,Yes,Yes,Low,Small,Dry,Adult,Standard,Acne Control
Male,Combination,Yes,Yes,Yes,No,No,Medium,Medium,Humid,Teen,Advanced,Acne Control
Female,Dry,No,No,No,Yes,No,Medium,Small,Humid,Mature,Advanced,Anti-Aging
Female,Sensitive,No,No,Yes,Yes,No,High,Small,Humid,Teen,Minimal,Sensitive Care
Male,Sensitive,Yes,No,No,No,No,Low,Large,Humid,Mature,Advanced,Sensitive Care
Male,Combination,No,Yes,No,No,Yes,High,Medium,Humid,Mature,Advanced,Acne Control
Female,Dry,Yes,No,Yes,Yes,No,Medium,Small,Moderate,Mature,Minimal,Sensitive Care
Female,Sensitive,Yes,Yes,No,No,Yes,Medium,Small,Humid,Mature,Minimal,Sensitive Care
Male,Sensitive,Yes,Yes,Yes,No,Yes,Medium,Medium,Moderate,Mature,Standard,Sensitive Care
Male,Dry,No,No,No,No,No,Low,Small,Humid,Teen,Minimal,Hydration
Female,Oily,Yes,Yes,Yes,Yes,Yes,Low,Small,Humid,Teen,Standard,Acne Control
Male,Dry,No,No,Yes,Yes,No,Low,Small,Dry,Adult,Minimal,Sensitive Care
Male,Oily,No,No,No,No,No,Low,Large,Humid,Mature,Advanced,Anti-Aging
Male,Oily,No,No,Yes,Yes,Yes,Low,Small,Moderate,Adult,Minimal,Acne Control
Female,Dry,No,No,Yes,Yes,No,Medium,Large,Humid,Teen,Advanced,Sensitive Care
Male,Oily,Yes,Yes,No,No,No,Low,Small,Dry,Teen,Minimal,Acne Control
Female,Oily,No,No,No,No,No,Low,Large,Moderate,Mature,Advanced,Anti-Aging
Female,Dry,Yes,No,Yes,Yes,Yes,Low,Large,Dry,Teen,Minimal,Sensitive Care
Female,Dry,Yes,Yes,Yes,Yes,Yes,Low,Large,Humid,Adult,Minimal,Sensitive Care
Male,Oily,Yes,No,No,No,Yes,Medium,Large,Moderate,Adult,Minimal,Acne Control
Female,Sensitive,Yes,No,No,No,Yes,Medium,Small,Dry,Mature,Advanced,Sensitive Care
Male,Oily,Yes,No,Yes,No,Yes,Low,Small,Dry,Adult,Minimal,Acne Control
Female,Combination,Yes,No,Yes,Yes,No,Low,Small,Humid,Mature,Advanced,Acne Control
Male,Combination,No,Yes,No,Yes,No,Low,Large,Dry,Adult,Minimal,Anti-Aging
Male,Sensitive,No,Yes,Yes,No,Yes,High,Large,Dry,Teen,Advanced,Sensitive Care
Female,Sensitive,Yes,Yes,Yes,Yes,Yes,Medium,Medium,Moderate,Mature,Minimal,Sensitive Care
Female,Dry,Yes,No,No,Yes,No,Low,Small,Moderate,Teen,Advanced,Hydration
Male,Combination,No,Yes,Yes,Yes,Yes,High,Medium,Humid,Teen,Advanced,Acne Control
Female,Sensitive,Yes,No,Yes,Yes,No,High,Small,Dry,Teen,Minimal,Sensitive Care
Female,Combination,No,Yes,Yes,Yes,Yes,Medium,Medium,Dry,Adult,Minimal,Acne Control
Female,Combination,No,No,Yes,Yes,No,Low,Small,Moderate,Adult,Minimal,Sensitive Care
Male,Sensitive,No,No,No,Yes,No,Low,Large,Humid,Adult,Minimal,Sensitive Care
Female,Oily,Yes,No,No,Yes,No,Medium,Large,Dry,Mature,Minimal,Acne Control
Female,Combination,No,No,No,No,Yes,Low,Small,Dry,Mature,Standard,Acne Control
Male,Combination,No,Yes,No,No,Yes,Low,Medium,Moderate,Mature,Advanced,Acne Control
Female,Sensitive,No,No,Yes,No,Yes,High,Large,Humid,Adult,Advanced,Sensitive Care
Female,Oily,Yes,No,Yes,Yes,Yes,Low,Small,Humid,Teen,Standard,Acne Control
Male,Sensitive,No,Yes,No,No,No,High,Small,Humid,Mature,Advanced,Sensitive Care
Male,Oily,No,Yes,Yes,No,Yes,Low,Large,Humid,Teen,Standard,Acne Control
Male,Sensitive,No,No,No,No,Yes,High,Large,Dry,Adult,Standard,Sensitive Care
Male,Combination,No,Yes,No,No,Yes,Low,Large,Dry,Teen,Standard,Acne Control
Female,Combination,Yes,Yes,Yes,Yes,No,Low,Large,Humid,Mature,Minimal,Acne Control
Male,Sensitive,No,No,No,No,Yes,High,Small,Dry,Adult,Advanced,Sensitive Care
Male,Sensitive,No,Yes,No,No,No,Medium,Medium,Moderate,Mature,Advanced,Sensitive Care
Male,Sensitive,Yes,No,No,No,Yes,High,Medium,Dry,Mature,Advanced,Sensitive Care
Female,Dry,No,Yes,Yes,No,Yes,Medium,Small,Moderate,Adult,Minimal,Sensitive Care
Female,Dry,Yes,No,No,No,Yes,High,Medium,Dry,Adult,Standard,Sensitive Care
Female,Sensitive,No,Yes,No,Yes,Yes,High,Medium,Humid,Mature,Minimal,Sensitive Care
Male,Oily,Yes,Yes,Yes,Yes,Yes,Low,Small,Dry,Mature,Minimal,Acne Control
Male,Sensitive,No,No,Yes,Yes,Yes,High,Medium,Humid,Mature,Minimal,Sensitive Care
Female,Sensitive,No,Yes,Yes,Yes,Yes,Low,Large,Dry,Mature,Advanced,Sensitive Care
Male,Oily,No,No,No,Yes,No,Low,Small,Dry,Adult,Minimal,Anti-Aging
Female,Combination,No,Yes,No,Yes,No,Low,Large,Moderate,Adult,Standard,Anti-Aging
Female,Combination,No,Yes,Yes,No,No,Low,Small,Dry,Mature,Advanced,Sensitive Care
Female,Combination,Yes,No,No,Yes,No,Low,Small,Dry,Adult,Standard,Acne Control
Female,Combination,Yes,Yes,Yes,Yes,No,Low,Medium,Moderate,Teen,Advanced,Acne Control
Female,Sensitive,No,Yes,Yes,No,Yes,High,Medium,Moderate,Teen,Standard,Sensitive Care
Female,Sensitive,No,No,No,No,No,Medium,Medium,Dry,Adult,Minimal,Sensitive Care
Male,Dry,No,Yes,Yes,Yes,Yes,Low,Large,Dry,Adult,Advanced,Sensitive Care
Female,Oily,Yes,No,Yes,No,Yes,Low,Medium,Humid,Mature,Advanced,Acne Control
Male,Combination,Yes,Yes,No,Yes,No,Low,Small,Humid,Mature,Standard,Acne Control
Female,Sensitive,No,No,Yes,Yes,No,High,Medium,Humid,Teen,Standard,Sensitive Care
Female,Oily,Yes,Yes,Yes,No,Yes,Low,Small,Humid,Mature,Standard,Acne Control
Male,Sensitive,No,No,No,No,No,High,Large,Moderate,Teen,Advanced,Sensitive Care
